Watched,Original Title,IMDb Rating,Runtime (mins),Year,Genres,URL
False,Deadpool & Wolverine,-1.0,127,2024,"Action, Comedy, Sci-Fi",https://www.imdb.com/title/tt6263850/
False,Chicken Run: Dawn of the Nugget,6.4,98,2023,"Animation, Adventure, Comedy, Family",https://www.imdb.com/title/tt8337264/
False,Kung Fu Panda,7.6,92,2008,"Animation, Action, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt0441773/
False,Kung Fu Panda 2,7.3,90,2011,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",https://www.imdb.com/title/tt1302011/
False,Kung Fu Panda 3,7.1,95,2016,"Animation, Action, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt2267968/
False,Kung Fu Panda 4,6.3,94,2024,"Animation, Action, Adventure, Comedy, Family, Fantasy",https://www.imdb.com/title/tt21692408/
False,Venom: The Last Dance,-1.0,-1,2024,"Action, Adventure, Sci-Fi, Thriller",https://www.imdb.com/title/tt16366836/
False,Venom,6.6,112,2018,"Action, Adventure, Sci-Fi",https://www.imdb.com/title/tt1270797/
False,Venom: Let There Be Carnage,5.9,97,2021,"Action, Sci-Fi, Thriller",https://www.imdb.com/title/tt7097896/
False,Venom,4.6,87,2005,Horror,https://www.imdb.com/title/tt0428251/
False,2001: A Space Odyssey,8.3,149,1968,"Adventure, Sci-Fi",https://www.imdb.com/title/tt0062622/
False,Muhsin Bey,8.4,119,1987,"Comedy, Drama, Music",https://www.imdb.com/title/tt0184756/
False,La finestra di fronte,7.2,106,2003,"Drama, Romance",https://www.imdb.com/title/tt0352343/
False,The Last Samurai,7.8,154,2003,"Action, Drama",https://www.imdb.com/title/tt0325710/
False,They Live,7.2,94,1988,"Action, Horror, Sci-Fi, Thriller",https://www.imdb.com/title/tt0096256/
False,Druk,7.7,117,2020,Drama,https://www.imdb.com/title/tt10288566/
False,Die Hard,8.2,132,1988,"Action, Thriller",https://www.imdb.com/title/tt0095016/
False,Die Hard 2,7.1,124,1990,"Action, Thriller",https://www.imdb.com/title/tt0099423/
False,Live Free or Die Hard,7.1,128,2007,"Action, Thriller",https://www.imdb.com/title/tt0337978/
False,Die Hard with a Vengeance,7.6,128,1995,"Action, Adventure, Thriller",https://www.imdb.com/title/tt0112864/
False,A Good Day to Die Hard,5.2,98,2013,"Action, Thriller",https://www.imdb.com/title/tt1606378/
