Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0808279,2024-07-26,2024-07-26,,"Funny Games","Funny Games",https://www.imdb.com/title/tt0808279/,Movie,6.5,111,2007,"Crime, Drama, Thriller",104542,2008-04-04,"Michael Haneke",,
2,tt0119167,2024-07-26,2024-07-26,,"Funny Games","Funny Games",https://www.imdb.com/title/tt0119167/,Movie,7.5,108,1997,"Crime, Drama, Thriller",85516,1998-10-30,"Michael Haneke",,
3,tt5215952,2024-07-26,2024-07-26,,"The Wailing","Gokseong",https://www.imdb.com/title/tt5215952/,Movie,7.4,156,2016,"Drama, Horror, Mystery, Thriller",84090,2016-11-25,"Na Hong-jin",,
4,tt12873562,2024-07-26,2024-07-26,,"The Invitation","The Invitation",https://www.imdb.com/title/tt12873562/,Movie,5.3,105,2022,"Horror, Thriller",34600,2022-08-26,"Jessica M. Thompson",,
5,tt7347846,2024-07-26,2024-07-26,,"The Lodge","The Lodge",https://www.imdb.com/title/tt7347846/,Movie,6.0,108,2019,"Drama, Horror, Mystery, Thriller",58733,2020-01-16,"Severin Fiala, Veronika Franz",,
6,tt0230600,2024-07-26,2024-07-26,,"The Others","The Others",https://www.imdb.com/title/tt0230600/,Movie,7.6,101,2001,"Horror, Mystery, Thriller",396676,2001-11-02,"Alejandro Amenábar",,
7,tt3289956,2024-07-26,2024-07-26,,"The Autopsy of Jane Doe","The Autopsy of Jane Doe",https://www.imdb.com/title/tt3289956/,Movie,6.8,86,2016,"Horror, Mystery, Thriller",142485,2017-03-31,"André Øvredal",,
8,tt5109784,2024-07-26,2024-07-26,,"Mother!","Mother!",https://www.imdb.com/title/tt5109784/,Movie,6.6,121,2017,"Drama, Horror, Mystery",252122,2017-09-15,"Darren Aronofsky",,
9,tt4695012,2024-07-26,2024-07-26,,"It Comes at Night","It Comes at Night",https://www.imdb.com/title/tt4695012/,Movie,6.2,91,2017,"Drama, Horror, Mystery, Sci-Fi, Thriller",104259,2017-07-07,"Trey Edward Shults",,
10,tt7784604,2024-07-26,2024-07-26,,"Hereditary","Hereditary",https://www.imdb.com/title/tt7784604/,Movie,7.3,127,2018,"Drama, Horror, Mystery, Thriller",387515,2018-06-15,"Ari Aster",,
11,tt4263482,2024-07-26,2024-07-26,,"The Witch","The VVitch: A New-England Folktale",https://www.imdb.com/title/tt4263482/,Movie,7.0,92,2015,"Drama, Fantasy, Horror, Mystery, Thriller",306346,2016-03-11,"Robert Eggers",,
12,tt2321549,2024-07-26,2024-07-26,,"The Babadook","The Babadook",https://www.imdb.com/title/tt2321549/,Movie,6.8,94,2014,"Drama, Horror, Mystery",250190,2014-10-24,"Jennifer Kent",,
13,tt8772262,2024-07-26,2024-07-26,,"Midsommar","Midsommar",https://www.imdb.com/title/tt8772262/,Movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",414261,2019-07-03,"Ari Aster",,
14,tt23468450,2024-07-26,2024-07-26,,"Longlegs","Longlegs",https://www.imdb.com/title/tt23468450/,Movie,7.2,101,2024,"Crime, Horror, Thriller",30632,2024-07-12,"Oz Perkins",,
15,tt15791034,2024-07-26,2024-07-26,,"Barbarian","Barbarian",https://www.imdb.com/title/tt15791034/,Movie,7.0,102,2022,"Horror, Mystery, Thriller",195115,2022-10-28,"Zach Cregger",,
