Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt6263850,2024-06-16,2024-06-16,,"Deadpool & Wolverine","Deadpool & Wolverine",https://www.imdb.com/title/tt6263850/,Movie,,127,2024,"Action, Comedy, Sci-Fi",0,2024-07-24,"Shawn Levy",,
2,tt8337264,2024-06-16,2024-06-16,,"Tavuklar Firarda: Kurtarma Operasyonu","Chicken Run: Dawn of the Nugget",https://www.imdb.com/title/tt8337264/,Movie,6.4,98,2023,"Animation, Adventure, Comedy, Family",23322,2023-12-15,"Sam Fell",,
3,tt0441773,2024-06-16,2024-06-16,,"Kung Fu Panda","Kung Fu Panda",https://www.imdb.com/title/tt0441773/,Movie,7.6,92,2008,"Animation, Action, Adventure, Comedy, Family, Fantasy",526298,2008-07-04,"Mark Osborne, John Stevenson",,
4,tt1302011,2024-06-16,2024-06-16,,"Kung Fu Panda 2","Kung Fu Panda 2",https://www.imdb.com/title/tt1302011/,Movie,7.3,90,2011,"Animation, Action, Adventure, Comedy, Drama, Family, Fantasy",323271,2011-06-10,"Jennifer Yuh Nelson",,
5,tt2267968,2024-06-16,2024-06-16,,"Kung Fu Panda 3","Kung Fu Panda 3",https://www.imdb.com/title/tt2267968/,Movie,7.1,95,2016,"Animation, Action, Adventure, Comedy, Family, Fantasy",191420,2016-03-18,"Alessandro Carloni, Jennifer Yuh Nelson",,
6,tt21692408,2024-06-16,2024-06-16,,"Kung Fu Panda 4","Kung Fu Panda 4",https://www.imdb.com/title/tt21692408/,Movie,6.3,94,2024,"Animation, Action, Adventure, Comedy, Family, Fantasy",42628,2024-04-05,"Mike Mitchell, Stephanie Stine",,
7,tt16366836,2024-06-16,2024-06-16,,"Venom: Son Dans","Venom: The Last Dance",https://www.imdb.com/title/tt16366836/,Movie,,,2024,"Action, Adventure, Sci-Fi, Thriller",0,2024-10-25,"Kelly Marcel",,
8,tt1270797,2024-06-16,2024-06-16,,"Venom: Zehirli Öfke","Venom",https://www.imdb.com/title/tt1270797/,Movie,6.6,112,2018,"Action, Adventure, Sci-Fi",542058,2018-10-05,"Ruben Fleischer",,
9,tt7097896,2024-06-16,2024-06-16,,"Venom: Zehirli Öfke 2","Venom: Let There Be Carnage",https://www.imdb.com/title/tt7097896/,Movie,5.9,97,2021,"Action, Sci-Fi, Thriller",261389,2021-10-15,"Andy Serkis",,
10,tt0428251,2024-06-16,2024-06-16,,"Venom","Venom",https://www.imdb.com/title/tt0428251/,Movie,4.6,87,2005,"Horror",10851,2005-09-16,"Jim Gillespie",,
11,tt0062622,2024-06-16,2024-06-16,,"2001: Uzay Yolu Macerası","2001: A Space Odyssey",https://www.imdb.com/title/tt0062622/,Movie,8.3,149,1968,"Adventure, Sci-Fi",723130,1973-11-19,"Stanley Kubrick",,
12,tt0184756,2024-06-16,2024-06-16,,"Muhsin Bey","Muhsin Bey",https://www.imdb.com/title/tt0184756/,Movie,8.4,119,1987,"Comedy, Drama, Music",11782,1987-10-10,"Yavuz Turgul",,
13,tt0352343,2024-06-16,2024-06-16,,"Karşı pencere","La finestra di fronte",https://www.imdb.com/title/tt0352343/,Movie,7.2,106,2003,"Drama, Romance",11700,2003-12-12,"Ferzan Özpetek",,
14,tt0325710,2024-06-16,2024-06-16,,"Son Samuray","The Last Samurai",https://www.imdb.com/title/tt0325710/,Movie,7.8,154,2003,"Action, Drama",473743,2004-02-06,"Edward Zwick",,
15,tt0096256,2024-06-16,2024-06-16,,"Yaşıyorlar","They Live",https://www.imdb.com/title/tt0096256/,Movie,7.2,94,1988,"Action, Horror, Sci-Fi, Thriller",146768,1990-03-09,"John Carpenter",,
16,tt10288566,2024-06-16,2024-06-16,,"Körkütük","Druk",https://www.imdb.com/title/tt10288566/,Movie,7.7,117,2020,"Drama",197008,2021-08-20,"Thomas Vinterberg",,
17,tt0095016,2024-06-16,2024-06-16,,"Zor Ölüm","Die Hard",https://www.imdb.com/title/tt0095016/,Movie,8.2,132,1988,"Action, Thriller",949933,1990-01-26,"John McTiernan",,
18,tt0099423,2024-06-16,2024-06-16,,"Zor Ölüm 2","Die Hard 2",https://www.imdb.com/title/tt0099423/,Movie,7.1,124,1990,"Action, Thriller",384515,1991-02-22,"Renny Harlin",,
19,tt0337978,2024-06-16,2024-06-16,,"Zor Ölüm 4: Özgür Yaşa veya Zor Öl","Live Free or Die Hard",https://www.imdb.com/title/tt0337978/,Movie,7.1,128,2007,"Action, Thriller",421744,2007-06-28,"Len Wiseman",,
20,tt0112864,2024-06-16,2024-06-16,,"Zor Ölüm 3: Zeka Öcünü Alıyor","Die Hard with a Vengeance",https://www.imdb.com/title/tt0112864/,Movie,7.6,128,1995,"Action, Adventure, Thriller",409690,1995-10-27,"John McTiernan",,
21,tt1606378,2024-06-16,2024-06-16,,"Zor Ölüm 5: Ölmek İçin Güzel Bir Gün","A Good Day to Die Hard",https://www.imdb.com/title/tt1606378/,Movie,5.2,98,2013,"Action, Thriller",215635,2013-02-15,"John Moore",,
22,tt0066921,2024-06-16,2024-06-16,,"Otomatik Portakal","A Clockwork Orange",https://www.imdb.com/title/tt0066921/,Movie,8.3,136,1971,"Crime, Sci-Fi",884631,1996-03-15,"Stanley Kubrick",,
23,tt1832382,2024-06-16,2024-06-16,,"Bir Ayrılık","Jodaeiye Nader az Simin",https://www.imdb.com/title/tt1832382/,Movie,8.3,123,2011,"Drama",259632,2011-07-01,"Asghar Farhadi",,
24,tt0042192,2024-06-16,2024-06-16,,"Perde Açılıyor","All About Eve",https://www.imdb.com/title/tt0042192/,Movie,8.2,138,1950,"Drama",139340,1950-10-27,"Joseph L. Mankiewicz",,
25,tt0169547,2024-06-16,2024-06-16,,"Amerikan Güzelliği","American Beauty",https://www.imdb.com/title/tt0169547/,Movie,8.3,122,1999,"Drama",1215203,2000-02-18,"Sam Mendes",,
26,tt0120586,2024-06-16,2024-06-16,,"Geçmişin gölgesinde","American History X",https://www.imdb.com/title/tt0120586/,Movie,8.5,119,1998,"Crime, Drama",1191252,1999-04-09,"Tony Kaye",,
27,tt0060138,2024-06-16,2024-06-16,,"Rastgele Balthazar","Au hasard Balthazar",https://www.imdb.com/title/tt0060138/,Movie,7.7,95,1966,"Drama",22974,1966-05-25,"Robert Bresson",,
